"Name","Prerequisites","Effect"
"Foraging",,"Whenever you complete a rest in an area with a danger level of 2 or higher, gain the benefits of the Harvest downtime activity."
"Elaborate Preparation",,"You may add a modifer to consumable concoctions that you create."
"Curative Preparation",,"Your consumable concoctions may be spent during the Tend and Recover downtime activity. Each creature affected may consume one of them, and recover an additional stack of exhaustion. Only consumable concoctions made from defensive category spells may be spent in this way."
"Caffeinated",,"Whenever you complete a rest, you may choose not to remove a stack of exhaustion as normal. If you do, you may complete an additional downtime activity."
"Cunning Preparation",,"You may create traps using your concoctions when you use the Shape downtime activity by spending an appropriate consumable."
"Profitable Ventures",,"You gain access to the Transmute downtime activity. When you use it, make an Expertise (Anima/Fontcraft/Tinkering) skill check. You may sacrifice up to skill check result / 5 consumables. Gain 3 times that many essence crystals."
"Recycling",,"When you use the Devise downtime activity, you may sacrifice any number of additional consumables. Create one new consumable (of the same type selected) for each consumable sacrificed in this way."
"Eureka",,"Whenever you use the Devise downtime activity, if your result was 15 or better, also gain the benefit of the Invent downtime activity."
"Something From Nothing",,"The Devise downtime activity no longer costs you essence crystals."
"Amalgamate",,"You no longer need a suitable vessel while using the Resurrect downtime activity, and can pick a species freely."
"Identify",,"As a downtime activity, you can sense the presence or absence of magic on any item, creature or object that you can freely interact with. Make an Expertise skill check with the appropriate skill. Learn more obscure things based on the skill check result."
"Altruistic",,"Whenever you use the Tend downtime activity on an NPC, also gain the benefit of the Connect downtime activity targeting them with the same skill check result."
"Snake Oil",,"You have advantage on skill checks made as part of Trickery and Deals and Ideals scenes that involve offering others consumables that you have made."
