"Level","Feature Name","Details","Powers Known"
"1","Weapon Bond","Cannot lose weapon. Choose subclass, which grants different effect when you Swap.",
"1","Forethought","The first time each turn that you spend AP, you may spend essence up to AP spent to regain 1 AP per essence.","3"
"1","Counterattacks","0 essence triggered attacks.","3"
"1",,,"3"
"2","Skill Memory","After you make a skill check, you may make a difficulty 15 Presence (Charm) skill check to convince them to guide you. On a success, you may treat your result as if you’d rolled a 15. After you fail the Presence (Charm) skill check to use this ability you cannot use it again until you complete a rest.","4"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","4"
"3","Feat","Gain a new feat.","4"
"4","Superior Positioning","At the end of each of your turns, you may gain the benefits of the Shift action.","4"
"5","Second Thought","You have advantage on all Insight skill checks.","5"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"6","Feat","Gain a new feat.","5"
"7",,,"5"
"8","Together","You have advantage on skill checks made as part of your Skill Memory class feature.","6"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"9","Feat","Gain a new feat.","6"
"10","One Step Ahead","Attacks of opportunity against you do not have advantage.","7"
