"Name","Prerequisites","Effect"
"Opportunistic",,"Enemies provoke an attack of opportunity whenever they move from a tile that is within your zone of control into another tile that is within your zone of control."
"Relentless",,"Enemies provoke an attack of opportunity whenever they use a defensive or utility action."
"Collaborative",,"Enemies provoke an attack of opportunity whenever they take damage from another source, rather than when they lose life."
"Savage",,"Enemies provoke an attack of opportunity whenever they gain the prone status."
"Watchful",,"At the start of your turn, choose up to 3 adjacent tiles. Enemies provoke an attack of opportunity when they enter those tiles."
"Mark",,"1 AP: choose a creature within range 6. The next time they spend AP before the start of your next turn, you may make an attack of opportunity against them."
"Powerful Stance",,"Stance: You have disadvantage on all attacks. Forced movement you apply is doubled."
"Deliberate Stance",,"Stance: You have disadvantage on all attacks. Immediately gain the benefit of the Recover action when you hit with an attack."
"Meticulous Stance",,"Stance: You have disadvantage on all attacks. Double the stacks of any ailments applied by your attacks."
"Transforming Armaments",,"Select a total of 3 forms for your weapon, selecting a mundane base for each. When you use the Swap action, you may change which form you have equipped."
"Imposing",,"At the start of each of your turns, choose an enemy. While you have line of sight to that enemy, you are threatening them."
"Second Sight",,"You have advantage on all skill checks made to use the Spot and Scan actions."
