"Level","Feature Name","Details","Powers Known"
"1","Conduit Casting","0 AP 2 essence charges. Can only cast 1 per turn.","3"
"1","Buffer Overflow","After you hit with a charge, can pay 2 essence to chain to a new target within 2 tiles. Roll a new attack.","3"
"1","Injection Attack","After you hit a creature with an attack, you may pay 1 essence to teleport into an empty adjacent tile.","3"
"2","EXPLORATION",,"4"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","4"
"3","Feat","Gain a new feat.","4"
"4","Arcing","Your Buffer Overflow chains now have a range of 3 tiles.","4"
"5","EXPLORATION",,"5"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"6","Feat","Gain a new feat.","5"
"7","GOTO","When you use the Move action, may pay 1 essence to teleport instead.","5"
"8","EXPLORATION",,"6"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"9","Feat","Gain a new feat.","6"
"10","Overclock","Can use a second prismatic","7"
