"Level","Feature Name","Details","Powers Known"
"1","Feats","Gain a new combat feat and a new exploration feat.","4"
"1","Prayer","2 AP: 0 essence spell. Favor increases by 1 for each one you use.","4"
"1","Miracle","3 AP: Chance to cast sustained miracle, ends when concentration broken. Spend essence to improve odds, roll d20s based on favor.","4"
"1","Devotion","Choose 3 domains. Choose miracle mechanics.","4"
"1","Sanctity","Advantage on skill checks to maintain concentration.",
"1","Rebuke","After a creature uses an offensive action against you, you may spend 1 AP to make a ranged attack against Presence against them. If you hit, apply one stack of pacified.","4"
"2","Augury","Downtime activity: ask a Yes / No question. Answer you get depends on chance based on your devotion.","5"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"3","Feats","Gain a new combat feat and a new exploration feat.","5"
"4","Reprieve","After you successfully cast a miracle, gain the benefits of the Defend action.","5"
"5","Shepherd","You have advantage on all Guidance skill checks made outside of downtime.","6"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"6","Feats","Gain a new combat feat and a new exploration feat.","6"
"7","Desperate Plea","Once per rest, you may treat a failure on a Favor check as if it were a success.","6"
"8","Privileged Information","Once per rest, you may immediately gain the benefit of the Augury downtime activity specific to your subclass.","7"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","7"
"9","Feats","Gain a new combat feat and a new exploration feat.","7"
"10","Miracle Worker","You can sustain two miracles at once.","8"
