"Level","Feature Name","Details"
"1","Feats","Gain a new combat feat and a new exploration feat."
"1","Emotion","While not transformed, gain 1 emotion at the start of each turn. Then, you may pay 3*emotion essence to Transform. (Emotion you cannot pay for is lost.) While transformed, lose 1 emotion at the end of each turn. Your transformation ends when you reach 0 emotion."
"1","Temperament","Choose an emotion subclass. Gain a unique transformation. "
"1","Thrill of Battle","Whenever you lose life or land a critical hit, gain 1 stack of emotion."
"1","Grit","At the start of each of your turns, make a difficulty 10 Presence (Endurance) skill check. If you succeed, remove one stack of an ailment of your choice from yourself."
"2","Overexertion","After you make a skill check using a skill you are proficient in and see the initial results, you may choose to treat the result as if you had rolled a 15 instead, but gain 1 stacks of exhaustion for doing so. You cannot use this on death's door skill checks."
"3","Attribute Improvement","Increase one Attribute of your choice by 1."
"3","Feats","Gain a new combat feat and a new exploration feat."
"4","Outburst","Subclass emotion dump. (Use the last iteration for inspiration)"
"5","Pathos","You have advantage on Charisma and Guidance skill checks made to appeal to others’ emotions."
"6","Attribute Improvement","Increase one Attribute of your choice by 1."
"6","Feats","Gain a new combat feat and a new exploration feat."
"7","Push Through","Ignore all exhaustion penalties applied to Endurance skill checks."
"8","Rebound","Whenever you complete a rest, remove an additional stack of exhaustion."
"9","Attribute Improvement","Increase one Attribute of your choice by 1."
"9","Feats","Gain a new combat feat and a new exploration feat."
"10","Unrelenting","Gain emotion even when transformed."
