Name,AP,Essence,Category,Range,Type,Target,Effect
Aura of Audacity,0,0,Offensive,2,Presence,Multitarget,One stack of taunted.
Aura of Awe,0,0,Offensive,2,Presence,Multitarget,One stack of frightened.
Aura of Conviction,0,0,Utility,2,None,Multitarget,Advantage on special attacks.
Aura of Deflection,0,0,Defensive,2,None,Multitarget,Disadvantage on basic attacks against allies.
Aura of Determination,0,0,Defensive,2,None,Multitarget,Immune to forced movement.
Aura of Force,0,0,Offensive,2,Prowess,Multitarget,Knock prone.
Aura of Life,0,0,Utility,2,None,Multitarget,Area is difficult terrain.
Aura of Might,0,0,Utility,2,None,Multitarget,Advantage on basic attacks.
Aura of Peace,0,0,Offensive,2,Presence,Multitarget,One stack of pacified.
Aura of Protection,0,0,Defensive,2,None,Multitarget,3 + 1/2 Presence absorption.
Aura of Purity,0,0,Defensive,2,None,Multitarget,"Prevent one stack of each ailment, 2 stacks of each affliction."
Aura of Radiance,0,0,Offensive,2,None,Multitarget,One stack of blinded.
Aura of Resolve,0,0,Offensive,2,Focus,Multitarget,1d4 + Presence damage. Gain absorption equal to damage dealt.
Aura of Retribution,0,0,Defensive,2,None,Multitarget,1d4 + Presence thorns damage.
Aura of Reverence,0,0,Offensive,2,Focus,Multitarget,One stack of rooted.
Aura of Righteousness,0,0,Offensive,2,Focus,Multitarget,"1d4 + Presence damage, ignores absorption."
Aura of Temperance,0,0,Offensive,2,Focus,Multitarget,3 + 1/2 Presence stacks of temperance.
Aura of Tranquility,0,0,Defensive,2,None,Multitarget,Disadvantage on special attacks against allies.
Aura of Vitality,0,0,Defensive,2,None,Multitarget,"Remove one stack of each ailment, 2 stacks of each affliction at end of turn."
