"Level","Feature Name","Details","Powers Known"
"1","Inscription","1 AP to place a rune with 1 tile radius centered on yourself, provoking AoO. Runes activate when stepped on. Runes cost 1 essence each time they do something.","3"
"1","Esteemed Tradition","Half rounded up of sigils must belong to the subclass. Proficiency in the skill associated with your subclass.","3"
"1","Erasure","1 AP to erase rune, must be adjacent.","3"
"1","Elevated Privilege","You do not trigger your own runes if they have the offensive tag.","3"
"1","Runic Empowerment","When you hit with Strike/Grapple/Shove/Treat, may spend 1 essence to apply rune effect that you know.","3"
"2","Puzzle Mastery","You have advantage on Focus and Expertise skill checks made to determine how puzzles work.","4"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","4"
"3","Feat","Gain a new feat.","4"
"4","Overlay","Runes can be stacked.","4"
"5","Engraving","Downtime activity to create a single permanent rune. Does not cost you essence.","5"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"6","Feat","Gain a new feat.","5"
"7","Scaling","Runes can be 0, 1 or 2 tiles in radius.","5"
"8","Rune Network","Create warp point with downtime activity. Downtime activity or risky skill check to travel between.","6"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"9","Feat","Gain a new feat.","6"
"10","Shifting Script","1 AP: replace any of your non-permanent runes with another one you know.","7"
