"Level","Feature Name","Details","Powers Known"
"1","Runecasting","2 AP 2 essence single target ranged spells. Very powerful.","4"
"1","School of Magic","Half of spells must be from school. Skill proficiency.","4"
"1","Elaborate Runes","Pick a drawback to compensate for powerful spells.","4"
"1","Runic Alteration: Quantifier","Pick an AoE metamagic.","4"
"2","Runeseek","Downtime activity: Uncover treasures using academic skill.","5"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"3","Feat","Gain a new feat.","5"
"4","Runic Alteration: Accent","Pick a range modifying metamagic.","5"
"5","Field Notes","Whenever you gain a Resolve, also gain the benefit of the Prepare downtime activity, focusing on the academic skill","6"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"6","Feat","Gain a new feat.","6"
"7","Runic Alteration: Script","Pick a element / ailment / attack modifying metamagic.","6"
"8","Allure of the Unknown","Whenever you complete a rest (other than by spending Resolve) in an area with a danger level of 1 or higher, gain a Resolve.","7"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","7"
"9","Feat","Gain a new feat.","7"
"10","Pinnacle of Knowledge","Downtime activity to replace a spell known or runic alteration selected. Also subclass bonus when you cast a spell.","8"
