"Level","Feature Name","Details","Powers Known"
"1","Feats","Gain a new combat feat and a new exploration feat.","3"
"1","Manifestations","Imbue actions with up to 3 essence, increasing their power in reckless ways.","3"
"1","Domain","Choose an element, alters manifestations.","3"
"1","Overgrowth","Whenever you spend essence, shape 1 tile per essence spent within a 3 tile range.","3"
"1","Energy Cycle","Gain resistance to chosen element. Regain 1 essence whenever you take damage of that element.","3"
"2","Commune","Downtime activity. Learn about nearest font using Fontcraft skill.","4"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","4"
"3","Feats","Gain a new combat feat and a new exploration feat.","4"
"4","Surefooted","Ignore the effects of difficult terrain when moving.","4"
"5","Cultivate","Downtime activity: permanently shape tiles within a 6 tile radius.","5"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"6","Feats","Gain a new combat feat and a new exploration feat.","5"
"7","Elemental Mastery","Your manifestations ignore resistance to the specified elemental damage type and treat immunity to the specified elemental damage type as if it was only resistance. Enemies only.","5"
"8","Wild Home","When resting in high danger level areas, may use an additional downtime activity.","6"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"9","Feats","Gain a new combat feat and a new exploration feat.","6"
"10","Domain Mastery","Shape twice as many tiles; can choose to remove as well.","7"
