"Name","Prerequisites","Effect"
"Telemedicine",,"Treat actions on your partner have advantage and can be made at any range."
"Telekinesis",,"Shove actions on your partner have advantage and can be made at any range."
"Personal Connection",,"When you use the Bond downtime activity, you are bonded with that creature, in addition to the usual connection. Choose one whenever you use a pulse."
"Blind the Mind's Eye",,"Partner automatically fails any Spot actions taken against you."
"Precognition",,"You have advantage on all Dodge and Block skill checks made to avoid your partner's attacks."
"Soul Charging",,"Whenever either party takes the Recover action, other party gains its effects."
"Strange Bond",,"At the end of each of your turns, choose one: make a Focus attack to apply one stack of the specified ailment to dual or remove one stack of the specified ailment from dual."
"Parting Gift",,"Whenever your connection breaks, you may use a pulse on previous partner as an AoO."
"Immune System","Plague subclass","You have resistance to damage from afflictions."
"Sickly","Plague subclass","Your ailments and afflictions are not reduced at the end of each turn. Each turn, choose one ailment to ignore."
"Lifeline",,"You and allied dual can choose who takes damage, but share concentration. Whenever you lose life, your enemy dual loses 1 life."
