"Level","Feature Name","Details","Powers Known"
"1","Feats","Gain a new combat feat and a new exploration feat.","3"
"1","Just Lucky","After you make an attack or damage roll (and see the immediate results), you may spend 1 essence to reroll the results. You must use the new results unless you use this power again. ","3"
"1","Winning Streak","Damage dice explode.","3"
"1","Trickery","0 essence 1 AP tricks. Range 1, explodes at the start of your next turn in 1 tile radius. Which trick it is is hidden to enemies.","3"
"1","Flair: Payout","Whenever you land a critical hit, gain a bonus effect.",
"2","Roll the Dice","When you make a skill check, but before you roll, you may choose to instead attempt to change the attribute used for the skill. When you do so, you are temporarily treated as if you are proficient in the skill. Roll a d6.","4"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","4"
"3","Feats","Gain a new combat feat and a new exploration feat.","4"
"4","Dirty Tricks","2 essence at the start of any other creatures' turn to immediately detonate a trick.","4"
"5","Fast Talker","Once per rest, after you fail a Presence skill check outside of combat, you may immediately attempt the same skill check again, ignoring the first outcome.","5"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"6","Feats","Gain a new combat feat and a new exploration feat.","5"
"7","Push Your Luck","After you make a skill check in combat and see the results, you may choose to reroll it. You must use the new result.","5"
"8","Flair: Trump Card","Once per rest ability to get out of trouble.","6"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"9","Feats","Gain a new combat feat and a new exploration feat.","6"
"10","Double or Nothing","Whenever you roll a 1 while making an attack roll or skill check, lose 5 essence. Whenever you roll a 20 while making an attack roll or skill check, gain 5 essence.","7"
