Name,AP,Essence,Category,Range,Type,Target,Effect
Big Bang,1,0,Offensive,3,Prowess,"Multi, 2 tile radius",Knock prone and blunted.
Cold Shower,1,0,Offensive,3,Agility,"Multi, 2 tile radius",2 stacks of chilled.
Pure Chaos,1,0,Offensive,3,Presence,"Multi, 2 tile radius",2 stacks of crazed
Soothing Vapors,1,0,Offensive,3,Focus,"Multi, 2 tile radius",2 stacks of pacified.
Trick-or-Treat,1,0,Offensive,3,Expertise,"Multi, 2 tile radius","2 stacks of frightened, trick center as target of fear."
Grease Trap,1,0,Utility,3,Agility,"Multi, 2 tile radius","Ground effect: whenever creatures use a movement action, make an special attack against Agility. If you hit, they are knocked prone. All forced movement other than teleportation is doubled."
Invisible Ink,1,0,Defensive,3,None,"Multi, 2 tile radius",Creatures become invisible until immediately after they use a non-movement action.
Now You Don't,1,0,Utility,3,Expertise,"Multi, 2 tile radius",Teleport all creatures hit by same vector. Make them invisible until start of your next turn or they use a non-movement action.
Over Here,1,0,Utility,3,None,"Multi, 2 tile radius",Teleport to the destination of the trick.
Smelling Salts,1,0,Defensive,3,None,"Multi, 2 tile radius",Roll once for Treat action on all creatures.
Smoke Bomb,1,0,Utility,3,None,"Multi, 2 tile radius",Tiles become heavily shrouded.
Spikestravaganza,1,0,Utility,3,None,"Multi, 2 tile radius","2 stacks of bleeding per tile they walk through. Can treat as difficult terrain, taking only 1 stack per tile."
Superior Glue,1,0,Utility,3,Prowess,"Multi, 2 tile radius","Tile effect: if you hit, apply one stack of rooted."
Pyrotechnics,1,0,Utility,3,None,"Multi, 2 tile radius",Tile effect: 3 + 1/2 Presence stacks of aflame.
