"Level","Feature Name","Details","Powers Known"
"1","Feats","Gain a new combat feat and a new exploration feat.","4"
"1","Weave Magic","2 AP to cast, 2 essence to sustain. Any number can be sustained. Some patterns are guild-exclusive.","4"
"1","Thread Twisting","1 essence to swap target of pattern.","4"
"1","Guild: Fabric of Reality","1 essence 1 AP to create powerful vantage that lasts until your concentration breaks.","4"
"2","Sense the Weave","You can sense the presence or absence of magic on any item, creature or object that you can clearly see. Learning the nature of this magic requires a successful Expertise (Fontcraft) skill check.","5"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"3","Feats","Gain a new combat feat and a new exploration feat.","5"
"4","Step through the Weave","1 AP: choose a tile within a 3 tile range. At the start of your next turn, you may teleport into that tile. Any creatures that were occupying your new tiles are pushed harmlessly aside, into the empty adjacent tile of their choice.","5"
"5","Reality Weaving","When you use the Shape downtime activity and select Fontcraft as the skill, you can create permanent versions of your guild vantage.","6"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"6","Feats","Gain a new combat feat and a new exploration feat.","6"
"7","Snapped Threads","Whenever another creature causes your concentration to break, apply two stacks of an ailment of your choice to them.","6"
"8","Read the Weave","You have advantage on all skill checks made to determine facts about the magical nature of creatures, locations, effects, or items.","7"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","7"
"9","Feats","Gain a new combat feat and a new exploration feat.","7"
"10","Tapestry","3 AP: Cast two patterns.","8"
