"Name","Prerequisites","Effect"
"Fallow",,"When you use the Recover action, shape tiles equal to essence gained."
"Surefooted",,"Ignore the effects of difficult terrain."
"Ecotone",,"Choose another damage type. Your manifestations deal hybrid damage and you gain resistance to that damage type."
"Polyculture",,"Choose an additional terrain type. You can decide which one to create and can overlay them. (With capstone, pick 2 of 3.)"
"Biodiversity",,"Choose a second ailment and a second affliction. Can always choose which one to apply."
"Cleareyed",,"Ignore the effects of shroud. When you take this feat, sacrifice an exploration feat."
"Wild Growth",,"Passively shape twice as many tiles with Overgrowth feature, radius reduced to 2 tiles."
"Natural Immunity",,"Ignore the tile effects of your own terrain."
"Tenacious Growth",,"At the start of each of your turns, restore any of your terrain that were removed with the Interact action."
"Unstoppable Force",,"You have advantage on all attacks that apply forced movement."
"Immovable Object",,"While you have absorption, you are immune to forced movement."
"Power Draw",,"You have advantage on Recover and Essence Tap skill checks made while on a shaped tile."
"Gently Sloped","Hilly Terrain","Whenever you would create a tile of hilly terrain, you may choose to shape two tiles instead. If you do, all edges are gradual."
"Home Ground",,"You have advantage on basic attacks while on your terrain and the connected group is at least 3 tiles."
"Restraint",,"You can choose not to activate your Overgrowth feature. You may choose to unshape tiles with your Overgrowth feature."
"Secret Paths",,"3 essence: Teleport from a tile of your terrain to any other tile of your terrain within range 6. Uses all three uses of Wildshaping. Can choose to activate Overgrowth before or after moving, but always occurs after targeting."
"Elemental Mastery",,"You ignore resistance to elemental damage and treat immunity to elemental damage as if it was only resistance."
