"Level","Feature Name","Details","Powers Known"
"1","Feats","Gain a new combat feat and a new exploration feat.","3"
"1","Manifestations","Imbue actions with up to 3 essence, increasing their power in reckless ways.","3"
"1","Domain","Choose an element, ailment and affliction. Manifestations take on those effects.","3"
"1","Overgrowth","Choose a terrain type. Whenever you spend essence, shape 1 new tile per essence spent within a 3 tile range. These tiles stay shaped until the end of combat. Other creatures can use interact to clear an adjacent tile.","3"
"1","Energy Cycle","Gain resistance to chosen element. Regain 1 essence whenever you take damage of that element.","3"
"2","Commune","Downtime activity. Learn about nearest font using Fontcraft skill.","4"
"3","Attribute Improvement","Increase one Attribute of your choice by 1.","4"
"3","Feats","Gain a new combat feat and a new exploration feat.","4"
"4","Elemental Mastery","Your manifestations ignore resistance to the specified elemental damage type and treat immunity to the specified elemental damage type as if it was only resistance. Enemies only.","4"
"5","Cultivate","Downtime activity: permanently shape tiles within a 6 tile radius.","5"
"6","Attribute Improvement","Increase one Attribute of your choice by 1.","5"
"6","Feats","Gain a new combat feat and a new exploration feat.","5"
"7","Spreading Wilds","You can shape any tile adjacent to an already shaped tile.","5"
"8","Wild Home","When resting in high danger level areas, may use an additional downtime activity.","6"
"9","Attribute Improvement","Increase one Attribute of your choice by 1.","6"
"9","Feats","Gain a new combat feat and a new exploration feat.","6"
"10","Heart of the Wilds","Choose a second terrain type. Can choose to add two terrain types when shaping.","7"
