"Name","Prerequisites","Effect"
"Hardened",,"You have resistance to physical damage and are immune to damage from the bleeding ailment."
"Wireless Charging",,"Whenever you lose life due to electric damage, gain the benefits of the Recover action."
"Hardcoded",,"At the start of each of your turns, remove one stack of the pacified, frightened and taunted ailments."
"Reboot",,"Regain all of your life when you use the Essence Tap action."
"Instruction Manual",,"At the end of combat, if you are dead, an ally may make a difficulty 20 Expertise (Tinkering) skill check. If they succeed, immediately resurrect you."
"Easily Repaired",,"Skill checks made as part of the Treat action that target you have advantage."
"Hardened Circuitry",,"You have resistance to electric damage and are immune to damage from the shock ailment. "
"Viral",,"After you hit a creature with an attack, apply one stack of crazed to them. Whenever a creature with crazed hits another creature with an attack, apply one stack of crazed to the creature hit."
"Antivirus",,"You are immune to the effects of the crazed ailment."
"Tireless",,"Exhaustion no longer applies a penalty to your skill checks in combat, other than to the skill check made to avoid dying due to exhaustion."
"Battery Powered",,"Replaces Inexhaustible. When you consume an essence crystal with the Activate action, you may choose to remove a stack of exhaustion from yourself rather than regaining essence. You have advantage on skill checks to avoid exhaustion due to essence overload."
"Thrusters",,"When you choose this feat, also give up your exploration feat for this level. You can fly, and do not stop flying if you cannot spend movement. At the end of each of your turns while you are flying, lose 1 essence. Immediately land if you cannot."
"Process Automation","Industry subspecies","After you hit a creature with an attack, you may choose to immediately gain the benefits of the Swap action to equip the Arms created using your Repurposed subspecies feature."
"Reprogramming",,"You gain access to the Reprogram downtime activity. Choose a captured monster who is associated with the Tinkering skill. Make a difficulty 20 Presence (Tinkering) skill check. If you pass, they become an Automaton NPC with loyalty one towards you."
"Lightweight","Service subspecies","Replaces Steady Hand. You have advantage on Dodge skill checks. Whenever you successfully dodge, you may move 1 tile"
"Dispenser","Service subspecies","You may use consumables a second time without risking essence overload. You can use consumables on allies."
