"Name","Prerequisites","Effect"
"Flight",,"You can fly. When you take this feat, sacrifice your exploration feat for this level as well."
"Sensory Enhancement",,"You have advantage on skill checks made as part of the Spot and Scan actions."
"Elemental Form",,"You are immune to damage of the specified type."
"Elemental Feast",,"Whenever you lose life due to damage of the specified element, gain the benefit of the Recover action."
"Elemental Aura",,"You have resistance to the specified element. At the end of each of your turns, deal 1d4 damage of the specified element to all other adjacent creatures."
"Strange Aura",,"At the end of each of your turns, apply one stack of the specified ailment to all other adjacent creatures."
"Bizarre Biology",,"At the start of each of your turns, choose one of your ailments or afflictions. Convert it into the same number of stacks of a random ailment or affliction."
"Momentum",,"At the end of each of your turns, if you moved this turn you must move 1 tile in the direction you last moved in if able."
"Camoflauge",,"If you have not taken a movement action since the start of your last turn, you have advantage on Stealth skill checks and your current tile is considered a hiding spot."
"Hop",,"2 AP: Move up to two tiles away by teleportation."
"Brawny",,"You have advantage on Shove attacks."
"Scrawny",,"Shove and Grapple attacks against you have disadvantage."
"Amorphous",,"1 AP: Increase or decrease your size by 1 tile."
"Slithering",,"You are always prone. You no longer move more slowly while prone, and no longer have disadvantage on melee attacks while prone."
"Horned",,"Whenever you move 2 or more tiles in a straight line, you may make a melee Shove attack against a creature that is in front of you without spending any AP."
"Toxic",,"Whenever you're hit by a melee attack or at the end of each of your turns while you are grappled, apply one stack of the specified ailment to the creature that hit you."
"Dangerous",,"Create a set of arms using the standard rules which have a gear point total of 2. You always have them equipped, and they do not count as one of the two sets of arms you can equip. Whenever you land a critical hit, you may choose to gain the benefits of the Swap action."
