"Name","Prerequisites","Effect"
"Teeming","Life-Collector subspecies","Living Armor's absorption is now gained whenever you take damage, rather than whenever you lose life."
"Preoccupied","Academy-Rat subspecies","Whenever you use the Recover action, gain the benefits of the Ward action."
"Absolute Faith","Font-Congregant subspecies","You may now use the Dodge action on any attack."
"Rickety","City-Scrapper subspecies","At the start of each of your turns, gain 2 absorption for each unique affliction you have."
"Strange Concoction",,"After you succesfully use the Treat action, pick a different ailment or affliction on the target. Convert it into a random ailment or affliction."
"Sweet Sweet Essence",,"Whenever you use the Activate action, gain the benefits of the Recover action."
"Collector",,"You can equip two additional sets of arms."
"Essence Hunter",,"Whenever a creature within your zone of control uses the Recover, Activate or Essence Tap actions, you may make an attack of opportunity against them."
"Junk Toss",,"1 AP: make an Agility attack against a creature within a 3 tile range. Apply 2 stacks of a random ailment if you hit."
"Curious",,"At the start of each of your turns, you may gain the benefit of the Scan action targeting a creature or object within a 2 tile range."
"Shedding",,"Whenever you lose at least one stack of an ailment or affliction, apply one stack of that ailment or affliction to each creature within a 1 tile radius."
"Junk Shell",,"Whenever you would gain a stack of an affliction, remove one absorption instead if able. If you cannot, gain the affliction normally."
"Unstable Creation",,"When you use consumables, you may choose the damage type dealt, and any ailments and affliction applied at the time of use."
"Prodigy",,"You have advantage on attack rolls and skill checks made as part of the Activate action."
"Sterilization",,"After you use the Activate action, remove all ailments and afflictions from yourself."
"Meek",,"Whenever a creature would target you with a single target attack, make a Focus attack against them. If you hit, they must target a different creature with that attack instead, or lose any costs spent on that action."
"Fun Sized",,"You are zero tiles in size. Whenever a creature moves while you are grappling them or they are grappling you, you move with them. The efficacy of all forced movement applied to you is doubled."
